Order ID,Order Date,Customer ID,Category,Sales,Quantity,Discount,Profit
US-2015-150630,17-09-2015,TB-21520,Furniture,124.2,3,0.2,15.525
US-2015-150630,17-09-2015,TB-21520,Office Supplies,3.264,2,0.2,1.1016
US-2015-150630,17-09-2015,TB-21520,Office Supplies,86.304,6,0.2,9.7092
US-2015-150630,17-09-2015,TB-21520,Office Supplies,6.858,6,0.7,-5.715
US-2015-150630,17-09-2015,TB-21520,Office Supplies,15.76,2,0.2,3.546
CA-2017-107727,19-10-2017,MA-17560,Office Supplies,29.472,3,0.2,9.9468
CA-2016-117590,08-12-2016,GH-14485,Technology,1097.544,7,0.2,123.4737
CA-2016-117590,08-12-2016,GH-14485,Furniture,190.92,5,0.6,-147.963
CA-2015-117415,27-12-2015,SN-20710,Office Supplies,113.328,9,0.2,35.415
CA-2015-117415,27-12-2015,SN-20710,Furniture,532.3992,3,0.32,-46.9764
CA-2015-117415,27-12-2015,SN-20710,Furniture,212.058,3,0.3,-15.147
CA-2015-117415,27-12-2015,SN-20710,Technology,371.168,4,0.2,41.7564
CA-2017-120999,10-09-2017,LC-16930,Technology,147.168,4,0.2,16.5564
CA-2016-101343,17-07-2016,RA-19885,Office Supplies,77.88,2,0,3.894
CA-2017-139619,19-09-2017,ES-14080,Office Supplies,95.616,2,0.2,9.5616
CA-2016-118255,11-03-2016,ON-18715,Technology,45.98,2,0,19.7714
CA-2016-118255,11-03-2016,ON-18715,Office Supplies,17.46,2,0,8.2062
CA-2014-146703,20-10-2014,PO-18865,Office Supplies,211.96,4,0,8.4784
CA-2016-169194,20-06-2016,LH-16900,Technology,45,3,0,4.95
CA-2016-169194,20-06-2016,LH-16900,Technology,21.8,2,0,6.104
CA-2015-115742,18-04-2015,DP-13000,Office Supplies,38.22,6,0,17.9634
CA-2015-115742,18-04-2015,DP-13000,Office Supplies,75.18,6,0,35.3346
CA-2015-115742,18-04-2015,DP-13000,Furniture,6.16,2,0,2.9568
CA-2015-115742,18-04-2015,DP-13000,Furniture,89.99,1,0,17.0981
CA-2016-105816,11-12-2016,JM-15265,Office Supplies,15.26,7,0,6.2566
CA-2016-105816,11-12-2016,JM-15265,Technology,1029.95,5,0,298.6855
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,208.56,6,0,52.14
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,32.4,5,0,15.552
CA-2016-111682,17-06-2016,TB-21055,Furniture,319.41,5,0.1,7.098
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,14.56,2,0,6.9888
CA-2016-111682,17-06-2016,TB-21055,Technology,30,2,0,3.3
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,48.48,4,0.2,16.362
CA-2016-111682,17-06-2016,TB-21055,Office Supplies,1.68,1,0,0.84
CA-2015-135545,24-11-2015,KM-16720,Technology,13.98,2,0,6.1512
CA-2015-135545,24-11-2015,KM-16720,Office Supplies,25.824,6,0.2,9.3612
CA-2015-135545,24-11-2015,KM-16720,Office Supplies,146.73,3,0,68.9631
CA-2015-135545,24-11-2015,KM-16720,Furniture,79.76,4,0,22.3328
US-2015-164175,30-04-2015,PS-18970,Furniture,213.115,5,0.3,-15.2225
CA-2014-106376,05-12-2014,BS-11590,Office Supplies,1113.024,8,0.2,111.3024
CA-2014-106376,05-12-2014,BS-11590,Technology,167.968,4,0.2,62.988
CA-2016-119823,04-06-2016,KD-16270,Office Supplies,75.88,2,0,35.6636
CA-2016-106075,18-09-2016,HM-14980,Office Supplies,4.616,1,0.2,1.731
CA-2017-114440,14-09-2017,TB-21520,Office Supplies,19.05,3,0,8.763
US-2015-134026,26-04-2015,JE-15745,Furniture,831.936,8,0.2,-114.3912
US-2015-134026,26-04-2015,JE-15745,Furniture,97.04,2,0.2,1.213
US-2015-134026,26-04-2015,JE-15745,Office Supplies,72.784,1,0.2,-18.196
US-2017-118038,09-12-2017,KB-16600,Office Supplies,1.248,3,0.8,-1.9344
US-2017-118038,09-12-2017,KB-16600,Furniture,9.708,3,0.6,-5.8248
US-2017-118038,09-12-2017,KB-16600,Office Supplies,27.24,3,0.2,2.724
US-2014-147606,26-11-2014,JE-15745,Furniture,19.3,5,0.6,-14.475
CA-2016-127208,12-06-2016,SC-20770,Office Supplies,208.16,1,0,56.2032
CA-2016-127208,12-06-2016,SC-20770,Office Supplies,16.74,3,0,8.0352
CA-2014-139451,12-10-2014,DN-13690,Office Supplies,14.9,5,0,4.172
CA-2014-139451,12-10-2014,DN-13690,Office Supplies,21.39,1,0,6.2031
CA-2015-149734,03-09-2015,JC-16105,Office Supplies,200.984,7,0.2,62.8075
US-2017-119662,13-11-2017,CS-12400,Office Supplies,230.376,3,0.2,-48.9549
CA-2017-140088,28-05-2017,PO-18865,Furniture,301.96,2,0,33.2156
CA-2017-155558,26-10-2017,PG-18895,Technology,19.99,1,0,6.7966
CA-2017-155558,26-10-2017,PG-18895,Office Supplies,6.16,2,0,2.9568
CA-2016-159695,05-04-2016,GM-14455,Office Supplies,158.368,7,0.2,13.8572
CA-2016-109806,17-09-2016,JS-15685,Office Supplies,20.1,3,0,6.633
CA-2016-109806,17-09-2016,JS-15685,Technology,73.584,2,0.2,8.2782
CA-2016-109806,17-09-2016,JS-15685,Office Supplies,6.48,1,0,3.1104
CA-2015-149587,31-01-2015,KB-16315,Office Supplies,12.96,2,0,6.2208
CA-2015-149587,31-01-2015,KB-16315,Furniture,53.34,3,0,16.5354
CA-2015-149587,31-01-2015,KB-16315,Office Supplies,32.96,2,0,16.1504
US-2017-109484,06-11-2017,RB-19705,Office Supplies,5.682,1,0.7,-3.788
CA-2017-161018,09-11-2017,PN-18775,Furniture,96.53,7,0,40.5426
CA-2017-157833,17-06-2017,KD-16345,Office Supplies,51.312,3,0.2,17.9592
CA-2016-149223,06-09-2016,ER-13855,Office Supplies,77.88,6,0,22.5852
CA-2016-158568,29-08-2016,RB-19465,Office Supplies,64.624,7,0.2,22.6184
CA-2016-158568,29-08-2016,RB-19465,Technology,95.976,3,0.2,-10.7973
CA-2016-158568,29-08-2016,RB-19465,Office Supplies,1.788,3,0.8,-3.0396
CA-2016-129903,01-12-2016,GZ-14470,Office Supplies,23.92,4,0,11.7208
US-2015-156867,13-11-2015,LC-16870,Technology,238.896,6,0.2,-26.8758
US-2015-156867,13-11-2015,LC-16870,Furniture,102.36,3,0.2,-3.8385
US-2015-156867,13-11-2015,LC-16870,Office Supplies,36.882,3,0.7,-25.8174
CA-2017-119004,23-11-2017,JM-15250,Technology,74.112,8,0.2,17.6016
CA-2017-119004,23-11-2017,JM-15250,Technology,27.992,1,0.2,2.0994
CA-2017-119004,23-11-2017,JM-15250,Office Supplies,3.304,1,0.2,1.0738
CA-2015-129476,15-10-2015,PA-19060,Technology,339.96,5,0.2,67.992
CA-2017-146780,25-12-2017,CV-12805,Furniture,41.96,2,0,10.9096
CA-2016-128867,03-11-2016,CL-12565,Office Supplies,75.96,2,0,22.788
CA-2016-128867,03-11-2016,CL-12565,Office Supplies,27.24,6,0,13.3476
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,40.096,14,0.2,14.5348
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,4.72,2,0.2,1.652
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,23.976,3,0.2,7.4925
CA-2014-115259,25-08-2014,RC-19960,Office Supplies,130.464,6,0.2,44.0316
CA-2015-110457,02-03-2015,DK-13090,Furniture,787.53,3,0,165.3813
US-2015-136476,05-04-2015,GG-14650,Office Supplies,157.794,1,0.7,-115.7156
CA-2016-103730,12-06-2016,SC-20725,Furniture,47.04,3,0,18.3456
CA-2016-103730,12-06-2016,SC-20725,Office Supplies,30.84,4,0,13.878
CA-2016-103730,12-06-2016,SC-20725,Office Supplies,226.56,6,0,63.4368
CA-2016-103730,12-06-2016,SC-20725,Office Supplies,115.02,9,0,51.759
CA-2016-103730,12-06-2016,SC-20725,Technology,68.04,7,0,19.7316
US-2014-152030,26-12-2014,AD-10180,Furniture,600.558,3,0.3,-8.5794
US-2014-134614,20-09-2014,PF-19165,Furniture,617.7,6,0.5,-407.682
US-2017-107272,05-11-2017,TS-21610,Office Supplies,2.388,2,0.7,-1.8308
US-2017-107272,05-11-2017,TS-21610,Office Supplies,243.992,7,0.2,30.499
US-2016-125969,06-11-2016,LS-16975,Furniture,81.424,2,0.2,-9.1602
US-2016-125969,06-11-2016,LS-16975,Furniture,238.56,3,0,26.2416
US-2017-164147,02-02-2017,DW-13585,Technology,59.97,5,0.4,-11.994
US-2017-164147,02-02-2017,DW-13585,Office Supplies,78.304,2,0.2,29.364
US-2017-164147,02-02-2017,DW-13585,Office Supplies,21.456,9,0.2,6.9732
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,20.04,3,0,9.6192
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,35.44,1,0,16.6568
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,11.52,4,0,3.456
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,4.02,2,0,1.9698
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,76.176,3,0.2,26.6616
CA-2016-145583,13-10-2016,LC-16885,Office Supplies,65.88,6,0,18.4464
CA-2016-145583,13-10-2016,LC-16885,Furniture,43.12,14,0,20.6976
CA-2016-110366,05-09-2016,JD-15895,Furniture,82.8,2,0.2,10.35
CA-2017-106180,18-09-2017,SH-19975,Office Supplies,8.82,3,0,2.3814
CA-2017-106180,18-09-2017,SH-19975,Office Supplies,10.86,3,0,5.1042
CA-2017-106180,18-09-2017,SH-19975,Office Supplies,143.7,3,0,68.976
CA-2017-155376,22-12-2017,SG-20080,Office Supplies,839.43,3,0,218.2518
CA-2015-110744,07-09-2015,HA-14920,Office Supplies,671.93,7,0,20.1579
CA-2014-110072,22-10-2014,MG-17680,Furniture,93.888,4,0.2,12.9096
CA-2016-114489,05-12-2016,JE-16165,Technology,384.45,11,0,103.8015
CA-2016-114489,05-12-2016,JE-16165,Technology,149.97,3,0,5.9988
CA-2016-114489,05-12-2016,JE-16165,Furniture,1951.84,8,0,585.552
CA-2016-114489,05-12-2016,JE-16165,Office Supplies,171.55,5,0,80.6285
CA-2016-158834,13-03-2016,TW-21025,Office Supplies,157.92,5,0.2,17.766
CA-2016-158834,13-03-2016,TW-21025,Technology,203.184,2,0.2,15.2388
CA-2015-124919,31-05-2015,SP-20650,Office Supplies,58.38,7,0,26.271
CA-2015-124919,31-05-2015,SP-20650,Office Supplies,105.52,4,0,48.5392
CA-2015-124919,31-05-2015,SP-20650,Office Supplies,80.88,6,0,21.0288
CA-2015-118948,28-05-2015,NK-18490,Office Supplies,6.63,3,0,1.7901
CA-2014-104269,01-03-2014,DB-13060,Furniture,457.568,2,0.2,51.4764
CA-2016-114104,20-11-2016,NP-18670,Office Supplies,14.62,2,0,6.8714
CA-2016-114104,20-11-2016,NP-18670,Technology,944.93,7,0,236.2325
CA-2016-162733,11-05-2016,TT-21070,Office Supplies,5.98,1,0,2.691
CA-2015-119697,28-12-2015,EM-13960,Technology,54.384,2,0.2,1.3596
CA-2016-154508,16-11-2016,RD-19900,Office Supplies,28.4,5,0,13.348
CA-2016-113817,07-11-2016,MJ-17740,Office Supplies,27.68,2,0.2,9.688
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,9.936,3,0.2,2.7324
CA-2014-139892,08-09-2014,BM-11140,Technology,8159.952,8,0.4,-1359.992
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,275.928,3,0.2,-58.6347
CA-2014-139892,08-09-2014,BM-11140,Furniture,1740.06,9,0.3,-24.858
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,32.064,6,0.2,6.8136
CA-2014-139892,08-09-2014,BM-11140,Office Supplies,177.98,5,0.8,-453.849
CA-2014-139892,08-09-2014,BM-11140,Technology,143.976,3,0.2,8.9985
CA-2014-118962,05-08-2014,CS-12130,Office Supplies,20.94,3,0,9.8418
CA-2014-118962,05-08-2014,CS-12130,Office Supplies,110.96,2,0,53.2608
CA-2014-118962,05-08-2014,CS-12130,Furniture,340.144,7,0.2,21.259
US-2014-100853,14-09-2014,JB-15400,Office Supplies,52.448,2,0.8,-131.12
US-2014-100853,14-09-2014,JB-15400,Office Supplies,20.16,4,0.2,6.552
US-2017-152366,21-04-2017,SJ-20500,Office Supplies,97.264,4,0.8,-243.16
US-2015-101511,21-11-2015,JE-15745,Furniture,396.802,7,0.3,-11.3372
US-2015-101511,21-11-2015,JE-15745,Office Supplies,15.88,5,0.2,-3.7715
CA-2015-137225,15-12-2015,JK-15640,Office Supplies,3.28,1,0,1.4104
CA-2014-166191,05-12-2014,DK-13150,Office Supplies,24.816,2,0.2,1.8612
CA-2014-166191,05-12-2014,DK-13150,Technology,408.744,7,0.2,76.6395
CA-2014-158274,19-11-2014,RM-19675,Technology,503.96,4,0,131.0296
CA-2014-158274,19-11-2014,RM-19675,Technology,149.95,5,0,41.986
CA-2014-158274,19-11-2014,RM-19675,Technology,29,2,0,7.25
CA-2016-105018,28-11-2016,SK-19990,Office Supplies,7.16,2,0,3.4368
CA-2014-123260,26-08-2014,FM-14290,Technology,176.8,8,0,22.984
CA-2016-157000,16-07-2016,AM-10360,Office Supplies,37.224,3,0.2,3.7224
CA-2016-157000,16-07-2016,AM-10360,Office Supplies,20.016,3,0.2,6.255
CA-2015-102281,12-10-2015,MP-17470,Furniture,899.136,4,0.2,112.392
CA-2015-102281,12-10-2015,MP-17470,Technology,71.76,6,0,20.0928
CA-2015-102281,12-10-2015,MP-17470,Office Supplies,51.84,8,0,24.8832
CA-2015-102281,12-10-2015,MP-17470,Furniture,626.352,3,0.2,46.9764
CA-2015-102281,12-10-2015,MP-17470,Office Supplies,19.9,5,0,6.567
CA-2015-131457,31-10-2015,MZ-17515,Office Supplies,14.28,7,0,6.7116
CA-2014-140004,21-03-2014,CB-12025,Office Supplies,7.408,2,0.2,1.2038
CA-2014-140004,21-03-2014,CB-12025,Office Supplies,6.048,3,0.2,1.5876
CA-2017-107720,06-11-2017,VM-21685,Office Supplies,46.26,3,0,12.0276
US-2017-124303,06-07-2017,FH-14365,Office Supplies,2.946,2,0.7,-2.2586
US-2017-124303,06-07-2017,FH-14365,Office Supplies,16.056,3,0.2,5.8203
CA-2017-105074,24-06-2017,MB-17305,Office Supplies,21.744,3,0.2,6.795
CA-2014-133690,03-08-2014,BS-11755,Furniture,218.75,2,0.5,-161.875
CA-2014-133690,03-08-2014,BS-11755,Office Supplies,2.6,1,0.2,0.2925
US-2017-116701,17-12-2017,LC-17140,Office Supplies,66.284,2,0.8,-178.9668
CA-2017-126382,03-06-2017,HK-14890,Furniture,35.168,7,0.2,9.6712
CA-2017-108329,09-12-2017,LE-16810,Technology,444.768,4,0.2,44.4768
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,83.92,4,0,5.8744
CA-2017-135860,01-12-2017,JH-15985,Technology,131.98,2,0,35.6346
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,15.92,4,0,7.4824
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,52.29,9,0,16.2099
CA-2017-135860,01-12-2017,JH-15985,Office Supplies,91.99,1,0,3.6796
CA-2015-101007,09-02-2015,MS-17980,Technology,20.8,2,0.2,6.5
CA-2015-146262,02-01-2015,VW-21775,Office Supplies,23.68,2,0.2,8.88
CA-2015-146262,02-01-2015,VW-21775,Furniture,452.45,5,0.5,-244.323
CA-2015-146262,02-01-2015,VW-21775,Technology,62.982,3,0.4,-14.6958
CA-2015-146262,02-01-2015,VW-21775,Technology,1188,9,0.7,-950.4
CA-2015-146262,02-01-2015,VW-21775,Technology,89.584,2,0.2,4.4792
CA-2016-130162,28-10-2016,JH-15910,Office Supplies,93.06,6,0,26.0568
CA-2016-130162,28-10-2016,JH-15910,Technology,302.376,3,0.2,22.6782
CA-2015-169397,24-12-2015,JB-15925,Office Supplies,5.584,2,0.2,1.8148
CA-2015-169397,24-12-2015,JB-15925,Office Supplies,22.704,6,0.2,8.2302
CA-2015-169397,24-12-2015,JB-15925,Office Supplies,19.776,4,0.7,-13.8432
CA-2015-169397,24-12-2015,JB-15925,Furniture,72.704,4,0.2,19.0848
CA-2015-169397,24-12-2015,JB-15925,Technology,479.988,4,0.7,-383.9904
CA-2015-169397,24-12-2015,JB-15925,Office Supplies,27.168,2,0.2,2.7168
CA-2015-163055,09-08-2015,DS-13180,Office Supplies,2.2,1,0,0.968
CA-2015-163055,09-08-2015,DS-13180,Furniture,622.45,5,0,136.939
CA-2015-163055,09-08-2015,DS-13180,Office Supplies,21.98,1,0,0.2198
US-2015-145436,28-02-2015,VD-21670,Furniture,161.568,2,0.2,-28.2744
US-2015-145436,28-02-2015,VD-21670,Furniture,389.696,8,0.2,43.8408
US-2014-156216,13-09-2014,EA-14035,Office Supplies,18.648,7,0.7,-12.432
US-2017-100930,07-04-2017,CS-12400,Furniture,233.86,2,0.45,-102.048
US-2017-100930,07-04-2017,CS-12400,Furniture,620.6145,3,0.45,-248.2458
US-2017-100930,07-04-2017,CS-12400,Office Supplies,5.328,2,0.7,-3.552
US-2017-100930,07-04-2017,CS-12400,Furniture,258.072,3,0.2,0
US-2017-100930,07-04-2017,CS-12400,Technology,617.976,3,0.2,-7.7247
CA-2017-160514,12-11-2017,DB-13120,Office Supplies,10.56,2,0,4.752
CA-2016-157749,04-06-2016,KL-16645,Office Supplies,25.92,5,0.2,9.396
CA-2016-157749,04-06-2016,KL-16645,Furniture,419.68,5,0.6,-356.728
CA-2016-157749,04-06-2016,KL-16645,Furniture,11.688,3,0.6,-4.6752
CA-2016-157749,04-06-2016,KL-16645,Technology,31.984,2,0.2,11.1944
CA-2016-157749,04-06-2016,KL-16645,Furniture,177.225,5,0.5,-120.513
CA-2016-157749,04-06-2016,KL-16645,Furniture,4.044,3,0.6,-2.8308
CA-2016-157749,04-06-2016,KL-16645,Office Supplies,7.408,2,0.2,1.2038
CA-2014-131926,01-06-2014,DW-13480,Furniture,2001.86,7,0,580.5394
CA-2014-131926,01-06-2014,DW-13480,Office Supplies,166.72,2,0,41.68
CA-2014-131926,01-06-2014,DW-13480,Office Supplies,47.88,6,0,23.94
CA-2014-131926,01-06-2014,DW-13480,Office Supplies,1503.25,5,0,496.0725
CA-2014-131926,01-06-2014,DW-13480,Office Supplies,25.92,4,0,12.4416
CA-2016-154739,10-12-2016,LH-17155,Furniture,321.568,2,0.2,28.1372
CA-2016-145625,11-09-2016,KC-16540,Office Supplies,7.61,1,0,3.5767
CA-2016-145625,11-09-2016,KC-16540,Technology,3347.37,13,0,636.0003
CA-2016-146941,10-12-2016,DL-13315,Office Supplies,80.58,6,0,22.5624
CA-2016-146941,10-12-2016,DL-13315,Office Supplies,361.92,4,0,162.864
US-2015-159982,28-11-2015,DR-12880,Furniture,12.132,9,0.6,-8.4924
US-2015-159982,28-11-2015,DR-12880,Office Supplies,82.368,2,0.2,-19.5624
US-2015-159982,28-11-2015,DR-12880,Office Supplies,53.92,5,0.2,4.044
US-2015-159982,28-11-2015,DR-12880,Technology,647.904,6,0.2,56.6916
CA-2017-163139,01-12-2017,CC-12670,Technology,20.37,3,0,6.9258
CA-2017-163139,01-12-2017,CC-12670,Office Supplies,221.55,3,0,6.6465
CA-2017-163139,01-12-2017,CC-12670,Office Supplies,17.52,5,0.2,6.132
US-2017-155299,08-06-2017,Dl-13600,Office Supplies,1.624,2,0.8,-4.466
US-2014-106992,19-09-2014,SB-20290,Technology,3059.982,3,0.4,-509.997
US-2014-106992,19-09-2014,SB-20290,Technology,2519.958,7,0.4,-251.9958
CA-2016-125318,06-06-2016,RC-19825,Technology,328.224,4,0.2,28.7196
CA-2015-155040,10-11-2015,AH-10210,Technology,79.9,2,0,35.156
CA-2017-136826,16-06-2017,CB-12535,Office Supplies,14.016,3,0.2,4.7304
CA-2016-111010,22-01-2016,PG-18895,Office Supplies,7.56,6,0,0.3024
US-2017-145366,09-12-2017,CA-12310,Office Supplies,37.208,1,0.2,-7.4416
US-2017-145366,09-12-2017,CA-12310,Office Supplies,57.576,3,0.2,21.591
CA-2017-163979,28-12-2017,KH-16690,Office Supplies,725.84,4,0,210.4936
CA-2015-155334,30-07-2015,HA-14920,Technology,209.93,7,0,92.3692
CA-2015-155334,30-07-2015,HA-14920,Furniture,5.28,3,0,2.3232
CA-2015-155334,30-07-2015,HA-14920,Office Supplies,10.92,3,0.2,4.095
CA-2017-118136,16-09-2017,BB-10990,Office Supplies,8.82,2,0,4.0572
CA-2017-118136,16-09-2017,BB-10990,Office Supplies,5.98,1,0,1.5548
CA-2017-132976,13-10-2017,AG-10495,Office Supplies,11.648,2,0.2,4.0768
CA-2017-132976,13-10-2017,AG-10495,Office Supplies,18.176,4,0.2,5.9072
CA-2017-132976,13-10-2017,AG-10495,Office Supplies,59.712,6,0.2,5.9712
CA-2017-132976,13-10-2017,AG-10495,Office Supplies,24.84,3,0.2,8.694
US-2015-161991,26-09-2015,SC-20725,Office Supplies,2.08,5,0.8,-3.432
US-2015-161991,26-09-2015,SC-20725,Technology,1114.4,7,0.2,376.11
CA-2015-130890,02-11-2015,JO-15280,Furniture,1038.84,5,0.2,51.942
CA-2015-130883,26-09-2015,TB-21520,Office Supplies,141.76,5,0.2,47.844
CA-2015-130883,26-09-2015,TB-21520,Technology,239.8,5,0.2,47.96
CA-2015-130883,26-09-2015,TB-21520,Office Supplies,31.104,6,0.2,10.8864
CA-2016-112697,18-12-2016,AH-10195,Office Supplies,254.058,7,0.7,-169.372
CA-2016-112697,18-12-2016,AH-10195,Office Supplies,194.528,2,0.2,24.316
CA-2016-112697,18-12-2016,AH-10195,Office Supplies,961.48,5,0.2,-204.3145
CA-2016-110772,20-11-2016,NZ-18565,Office Supplies,19.096,7,0.2,6.6836
CA-2016-110772,20-11-2016,NZ-18565,Office Supplies,18.496,8,0.2,6.2424
CA-2016-110772,20-11-2016,NZ-18565,Technology,255.984,2,0.2,54.3966
CA-2016-110772,20-11-2016,NZ-18565,Furniture,86.97,3,0.5,-48.7032
CA-2014-111451,26-12-2014,KL-16555,Furniture,300.416,8,0.2,78.8592
CA-2014-111451,26-12-2014,KL-16555,Furniture,230.352,3,0.2,20.1558
CA-2014-111451,26-12-2014,KL-16555,Furniture,218.352,3,0.2,-24.5646
CA-2014-111451,26-12-2014,KL-16555,Office Supplies,78.6,5,0.7,-62.88
CA-2014-111451,26-12-2014,KL-16555,Office Supplies,27.552,3,0.2,9.2988
CA-2016-142545,28-10-2016,JD-15895,Office Supplies,32.4,5,0,15.552
CA-2016-142545,28-10-2016,JD-15895,Office Supplies,1082.48,8,0,10.8248
CA-2016-142545,28-10-2016,JD-15895,Office Supplies,56.91,3,0,27.3168
CA-2016-142545,28-10-2016,JD-15895,Furniture,77.6,4,0,38.024
CA-2016-142545,28-10-2016,JD-15895,Office Supplies,14.28,1,0,6.5688
US-2017-152380,19-11-2017,JH-15910,Furniture,219.075,3,0.5,-131.445
CA-2015-144253,04-05-2015,AS-10225,Furniture,26.8,2,0,12.864
CA-2014-130960,30-12-2014,KB-16600,Office Supplies,9.84,3,0,2.8536
CA-2014-111003,01-06-2014,CR-12625,Office Supplies,45.48,3,0,20.9208
CA-2014-111003,01-06-2014,CR-12625,Office Supplies,289.2,6,0,83.868
CA-2017-126774,15-04-2017,SH-20395,Office Supplies,4.89,1,0,2.0049
CA-2016-142902,12-09-2016,BP-11185,Furniture,15.136,4,0.2,3.5948
CA-2016-142902,12-09-2016,BP-11185,Furniture,466.768,2,0.2,52.5114
CA-2016-142902,12-09-2016,BP-11185,Furniture,15.232,1,0.2,1.7136
CA-2016-142902,12-09-2016,BP-11185,Office Supplies,6.264,3,0.2,2.0358
CA-2014-120887,27-09-2014,TS-21205,Furniture,87.54,3,0,37.6422
CA-2014-167850,09-08-2014,AG-10525,Technology,178.384,2,0.2,22.298
CA-2014-167850,09-08-2014,AG-10525,Office Supplies,15.552,3,0.2,5.4432
CA-2014-164259,28-12-2014,SP-20860,Office Supplies,99.136,4,0.2,8.6744
CA-2014-164973,04-11-2014,NM-18445,Furniture,135.882,1,0.1,24.1568
CA-2014-164973,04-11-2014,NM-18445,Technology,3991.98,2,0,1995.99
CA-2014-164973,04-11-2014,NM-18445,Technology,275.94,6,0,80.0226
CA-2014-164973,04-11-2014,NM-18445,Technology,360,4,0,129.6
CA-2014-164973,04-11-2014,NM-18445,Office Supplies,43.57,1,0,13.071
CA-2014-156601,19-09-2014,FA-14230,Office Supplies,7.16,2,0,3.58
CA-2016-162138,23-04-2016,GK-14620,Office Supplies,251.52,6,0.2,81.744
CA-2016-162138,23-04-2016,GK-14620,Technology,99.99,1,0,34.9965
CA-2017-153339,03-11-2017,DJ-13510,Furniture,15.992,1,0.2,0.9995
US-2016-141544,30-08-2016,PO-18850,Technology,290.898,3,0.4,-67.8762
US-2016-141544,30-08-2016,PO-18850,Office Supplies,54.224,2,0.2,3.389
US-2016-141544,30-08-2016,PO-18850,Furniture,786.744,4,0.3,-258.5016
US-2016-141544,30-08-2016,PO-18850,Office Supplies,100.24,10,0.2,33.831
US-2016-141544,30-08-2016,PO-18850,Office Supplies,37.764,6,0.7,-27.6936
US-2016-150147,25-04-2016,JL-15850,Technology,82.8,2,0.4,-20.7
